DateTime,Vehicles,AQI,CO2 Emissions (g/km),NOx Emissions (mg/km),PM2.5 Concentration (µg/m³),Pollution Category,Temperature (°C),Humidity (%),Wind Speed (km/h),Atmospheric Pressure (hPa),Area
01-11-2015 00:00,15,152,128,419,147.53,Unhealthy,21,21,28.89,1042.68,Ameerpet
01-11-2015 01:00,13,229,111,424,126.0,Very Unhealthy,34,36,28.31,1005.85,Miyapur
01-11-2015 02:00,10,142,168,186,16.38,Unhealthy for Sensitive Groups,43,23,4.71,993.43,Ameerpet
01-11-2015 03:00,7,64,98,392,113.53,Moderate,29,45,7.41,982.25,Gachibowli
01-11-2015 04:00,9,156,82,205,86.77,Unhealthy,25,88,26.76,1049.49,SR Nagar
01-11-2015 05:00,6,121,139,12,38.13,Unhealthy for Sensitive Groups,22,24,13.05,1033.16,Ameerpet
01-11-2015 06:00,9,238,321,304,113.25,Very Unhealthy,43,24,23.94,1011.92,Kukatpally
01-11-2015 07:00,8,70,108,57,9.38,Moderate,35,88,11.88,1040.61,Gachibowli
01-11-2015 08:00,11,152,154,158,111.07,Unhealthy,21,22,22.09,1011.93,Ameerpet
01-11-2015 09:00,12,171,149,239,134.82,Unhealthy,40,57,11.9,1028.15,Ameerpet
01-11-2015 10:00,15,260,162,27,132.98,Very Unhealthy,33,20,26.98,1047.0,Kukatpally
01-11-2015 11:00,17,264,252,490,116.99,Very Unhealthy,37,27,9.77,1029.44,Miyapur
01-11-2015 12:00,16,124,276,252,140.54,Unhealthy for Sensitive Groups,25,32,15.69,996.81,SR Nagar
01-11-2015 13:00,15,252,226,115,107.56,Very Unhealthy,25,89,15.65,1045.34,Miyapur
01-11-2015 14:00,16,137,352,172,104.58,Unhealthy for Sensitive Groups,38,69,19.47,981.55,Ameerpet
01-11-2015 15:00,12,166,114,41,8.8,Unhealthy,35,27,9.2,1044.43,Ameerpet
01-11-2015 16:00,12,149,192,131,30.26,Unhealthy for Sensitive Groups,18,49,19.28,1047.35,SR Nagar
01-11-2015 17:00,16,153,285,448,118.31,Unhealthy,22,59,4.23,986.43,Ameerpet
01-11-2015 18:00,17,201,237,404,149.64,Very Unhealthy,38,52,26.81,983.92,Kukatpally
01-11-2015 19:00,20,180,332,112,109.39,Unhealthy,17,71,4.33,1038.71,Ameerpet
01-11-2015 20:00,17,199,201,195,89.08,Unhealthy,36,52,25.21,981.76,Ameerpet
01-11-2015 21:00,19,102,127,232,31.6,Unhealthy for Sensitive Groups,35,56,20.79,1036.33,SR Nagar
01-11-2015 22:00,20,51,264,359,142.45,Moderate,16,89,10.23,1004.71,Gachibowli
01-11-2015 23:00,15,137,352,431,99.21,Unhealthy for Sensitive Groups,38,88,9.82,981.54,SR Nagar
02-11-2015 00:00,14,285,180,55,75.91,Very Unhealthy,26,23,28.98,1025.0,Miyapur
02-11-2015 01:00,12,207,94,135,129.9,Very Unhealthy,44,79,5.85,999.56,Kukatpally
02-11-2015 02:00,14,87,207,390,143.23,Moderate,20,50,21.69,990.59,Banjara Hills
02-11-2015 03:00,12,179,289,157,58.82,Unhealthy,16,33,5.51,1018.26,Ameerpet
02-11-2015 04:00,12,241,191,369,79.79,Very Unhealthy,42,79,27.16,981.98,Miyapur
02-11-2015 05:00,11,237,349,35,21.69,Very Unhealthy,35,87,22.26,1007.54,Kukatpally
02-11-2015 06:00,13,70,221,148,144.18,Moderate,15,45,27.98,1023.2,Gachibowli
02-11-2015 07:00,14,210,252,203,22.5,Very Unhealthy,26,43,26.37,1030.8,Miyapur
02-11-2015 08:00,12,253,245,368,139.71,Very Unhealthy,40,75,16.48,1016.17,Kukatpally
02-11-2015 09:00,22,107,198,474,32.7,Unhealthy for Sensitive Groups,36,28,4.57,984.32,SR Nagar
02-11-2015 10:00,32,71,282,225,136.77,Moderate,43,54,6.64,1033.44,Gachibowli
02-11-2015 11:00,31,285,90,359,70.58,Very Unhealthy,26,43,6.05,1007.13,Kukatpally
02-11-2015 12:00,35,138,328,46,90.85,Unhealthy for Sensitive Groups,39,50,6.62,992.65,Ameerpet
02-11-2015 13:00,26,98,383,399,10.16,Moderate,31,85,14.29,998.53,Banjara Hills
02-11-2015 14:00,34,268,327,447,62.19,Very Unhealthy,41,85,26.03,1026.72,Miyapur
02-11-2015 15:00,30,108,233,224,76.54,Unhealthy for Sensitive Groups,41,60,0.69,993.84,Ameerpet
02-11-2015 16:00,27,219,104,184,6.37,Very Unhealthy,45,55,7.15,986.17,Kukatpally
02-11-2015 17:00,27,269,300,492,100.82,Very Unhealthy,24,53,17.9,1023.47,Kukatpally
02-11-2015 18:00,24,237,189,123,126.64,Very Unhealthy,42,58,25.96,1025.21,Miyapur
02-11-2015 19:00,26,257,169,312,8.59,Very Unhealthy,42,42,8.92,1011.15,Kukatpally
02-11-2015 20:00,29,64,344,163,76.42,Moderate,30,63,11.48,1015.35,Banjara Hills
02-11-2015 21:00,32,239,119,290,9.89,Very Unhealthy,29,89,11.2,1038.23,Kukatpally
02-11-2015 22:00,30,239,342,429,131.63,Very Unhealthy,44,77,8.81,1003.7,Kukatpally
02-11-2015 23:00,27,224,237,286,28.32,Very Unhealthy,44,78,20.96,1040.46,Kukatpally
03-11-2015 00:00,21,239,197,499,13.49,Very Unhealthy,29,45,19.67,1041.15,Miyapur
03-11-2015 01:00,18,100,335,451,129.37,Moderate,44,41,25.3,1015.84,Banjara Hills
03-11-2015 02:00,19,157,275,308,69.45,Unhealthy,33,59,27.53,981.17,SR Nagar
03-11-2015 03:00,13,104,393,288,18.83,Unhealthy for Sensitive Groups,26,30,27.01,1044.57,SR Nagar
03-11-2015 04:00,11,293,390,74,98.95,Very Unhealthy,37,28,16.2,989.79,Kukatpally
03-11-2015 05:00,11,113,93,452,107.31,Unhealthy for Sensitive Groups,34,31,5.57,1016.9,SR Nagar
03-11-2015 06:00,11,298,197,326,87.41,Very Unhealthy,39,45,6.66,1027.06,Miyapur
03-11-2015 07:00,14,180,296,339,53.16,Unhealthy,17,57,17.71,986.66,SR Nagar
03-11-2015 08:00,15,278,284,98,66.55,Very Unhealthy,19,22,27.55,1032.52,Miyapur
03-11-2015 09:00,29,100,156,95,143.45,Moderate,33,34,15.91,1022.91,Gachibowli
03-11-2015 10:00,33,184,251,248,82.48,Unhealthy,21,66,28.07,1027.11,SR Nagar
03-11-2015 11:00,32,70,105,209,62.57,Moderate,35,24,7.87,990.77,Gachibowli
03-11-2015 12:00,32,122,207,114,107.69,Unhealthy for Sensitive Groups,23,73,2.59,999.03,SR Nagar
03-11-2015 13:00,29,216,221,73,16.04,Very Unhealthy,21,43,23.89,1001.18,Kukatpally
03-11-2015 14:00,27,67,103,426,47.08,Moderate,32,30,26.38,990.53,Gachibowli
03-11-2015 15:00,26,181,311,382,37.84,Unhealthy,18,52,13.44,1019.62,SR Nagar
03-11-2015 16:00,28,138,256,213,103.62,Unhealthy for Sensitive Groups,39,76,3.07,985.36,SR Nagar
03-11-2015 17:00,26,109,314,185,92.57,Unhealthy for Sensitive Groups,42,71,1.27,997.96,Ameerpet
03-11-2015 18:00,25,63,398,48,115.12,Moderate,28,83,1.88,1033.29,Gachibowli
03-11-2015 19:00,29,291,105,149,66.88,Very Unhealthy,32,62,13.17,996.6,Miyapur
03-11-2015 20:00,26,299,345,469,30.22,Very Unhealthy,40,63,7.04,993.62,Kukatpally
03-11-2015 21:00,24,58,196,148,31.51,Moderate,23,55,13.86,989.91,Gachibowli
03-11-2015 22:00,25,139,137,57,134.38,Unhealthy for Sensitive Groups,40,31,14.65,1023.2,SR Nagar
03-11-2015 23:00,20,102,349,145,15.86,Unhealthy for Sensitive Groups,35,75,13.74,1011.78,SR Nagar
04-11-2015 00:00,18,179,374,316,91.15,Unhealthy,16,22,18.6,995.4,Ameerpet
04-11-2015 01:00,18,133,201,401,38.59,Unhealthy for Sensitive Groups,34,69,20.38,994.27,Ameerpet
04-11-2015 02:00,13,141,238,110,36.07,Unhealthy for Sensitive Groups,42,48,11.88,1049.22,Ameerpet
04-11-2015 03:00,13,160,257,250,19.27,Unhealthy,29,35,10.11,984.67,SR Nagar
04-11-2015 04:00,10,237,223,217,147.0,Very Unhealthy,42,59,11.05,1032.06,Miyapur
04-11-2015 05:00,12,248,386,493,13.84,Very Unhealthy,21,46,2.11,1044.05,Kukatpally
04-11-2015 06:00,13,221,168,393,26.42,Very Unhealthy,26,89,9.65,1011.18,Miyapur
04-11-2015 07:00,11,57,318,219,57.95,Moderate,43,61,6.0,1013.71,Banjara Hills
04-11-2015 08:00,13,224,117,117,71.09,Very Unhealthy,22,76,8.73,1039.71,Miyapur
04-11-2015 09:00,22,84,158,350,142.87,Moderate,29,29,21.43,981.01,Gachibowli
04-11-2015 10:00,26,255,331,77,40.06,Very Unhealthy,17,57,29.66,993.28,Kukatpally
04-11-2015 11:00,27,130,228,379,109.54,Unhealthy for Sensitive Groups,28,27,27.71,1029.97,Ameerpet
04-11-2015 12:00,31,213,95,80,100.18,Very Unhealthy,31,37,24.65,1016.0,Miyapur
04-11-2015 13:00,24,99,348,107,80.04,Moderate,18,36,22.12,1047.7,Gachibowli
04-11-2015 14:00,23,153,197,491,43.58,Unhealthy,32,77,28.35,994.81,SR Nagar
04-11-2015 15:00,26,181,271,118,27.71,Unhealthy,22,85,22.56,1042.07,SR Nagar
04-11-2015 16:00,26,51,396,173,30.6,Moderate,18,63,14.13,1049.99,Banjara Hills
04-11-2015 17:00,24,183,367,366,55.17,Unhealthy,16,28,18.04,980.09,SR Nagar
04-11-2015 18:00,23,103,376,295,24.88,Unhealthy for Sensitive Groups,44,67,9.17,1000.2,Ameerpet
04-11-2015 19:00,25,155,273,99,149.79,Unhealthy,20,58,0.1,1048.69,Ameerpet
04-11-2015 20:00,26,53,360,405,69.64,Moderate,36,25,10.61,1042.89,Gachibowli
04-11-2015 21:00,24,103,380,84,83.15,Unhealthy for Sensitive Groups,24,49,12.14,986.76,SR Nagar
04-11-2015 22:00,26,270,329,38,94.39,Very Unhealthy,18,37,21.99,998.0,Kukatpally
04-11-2015 23:00,24,240,310,12,33.39,Very Unhealthy,36,62,25.78,1023.92,Kukatpally
05-11-2015 00:00,19,195,82,327,74.85,Unhealthy,43,52,28.88,997.35,SR Nagar
05-11-2015 01:00,20,267,253,20,14.12,Very Unhealthy,45,72,10.55,1007.41,Miyapur
05-11-2015 02:00,18,93,319,82,145.53,Moderate,32,75,28.72,997.75,Gachibowli
05-11-2015 03:00,13,211,183,227,73.56,Very Unhealthy,40,38,23.98,1000.93,Kukatpally
05-11-2015 04:00,13,251,368,127,9.3,Very Unhealthy,26,88,0.93,1003.88,Miyapur
05-11-2015 05:00,9,239,323,196,91.87,Very Unhealthy,16,45,17.86,1016.76,Kukatpally
05-11-2015 06:00,12,277,367,265,19.52,Very Unhealthy,24,48,10.97,1034.58,Kukatpally
05-11-2015 07:00,12,63,352,81,119.55,Moderate,44,43,1.02,1018.54,Banjara Hills
05-11-2015 08:00,15,144,199,222,143.24,Unhealthy for Sensitive Groups,18,25,15.95,997.22,Ameerpet
05-11-2015 09:00,16,97,338,81,137.9,Moderate,28,73,17.54,1025.9,Banjara Hills
05-11-2015 10:00,23,64,149,307,67.03,Moderate,45,58,7.57,1038.26,Gachibowli
05-11-2015 11:00,24,249,262,399,108.32,Very Unhealthy,30,23,28.2,1025.45,Miyapur
05-11-2015 12:00,25,255,326,320,27.59,Very Unhealthy,29,77,18.31,1036.01,Kukatpally
05-11-2015 13:00,24,264,197,475,15.98,Very Unhealthy,22,67,5.28,1011.45,Miyapur
05-11-2015 14:00,26,298,110,271,124.05,Very Unhealthy,28,79,21.64,1044.7,Kukatpally
05-11-2015 15:00,22,239,228,286,105.8,Very Unhealthy,37,45,14.97,1022.99,Miyapur
05-11-2015 16:00,20,89,95,437,136.52,Moderate,42,59,14.2,1029.79,Gachibowli
05-11-2015 17:00,20,262,352,257,137.62,Very Unhealthy,39,75,25.04,987.75,Miyapur
05-11-2015 18:00,22,257,181,382,55.36,Very Unhealthy,44,58,4.15,1024.04,Miyapur
05-11-2015 19:00,26,286,151,441,51.2,Very Unhealthy,22,58,14.73,982.02,Kukatpally
05-11-2015 20:00,22,131,272,96,69.08,Unhealthy for Sensitive Groups,35,67,23.42,991.46,SR Nagar
05-11-2015 21:00,21,160,190,429,101.52,Unhealthy,30,44,19.81,1028.91,Ameerpet
05-11-2015 22:00,21,102,372,219,5.72,Unhealthy for Sensitive Groups,27,53,0.16,1027.31,SR Nagar
05-11-2015 23:00,21,73,397,390,82.52,Moderate,32,40,23.62,1014.74,Banjara Hills
06-11-2015 00:00,16,203,356,228,7.86,Very Unhealthy,29,44,28.34,1026.04,Kukatpally
06-11-2015 01:00,18,266,185,438,70.35,Very Unhealthy,35,41,21.14,1037.37,Kukatpally
06-11-2015 02:00,19,237,116,140,16.93,Very Unhealthy,38,42,26.28,1038.38,Kukatpally
06-11-2015 03:00,14,173,370,452,86.52,Unhealthy,40,44,10.82,1042.26,SR Nagar
06-11-2015 04:00,12,286,260,259,50.57,Very Unhealthy,39,45,10.52,1042.31,Miyapur
06-11-2015 05:00,13,90,222,277,74.44,Moderate,42,49,9.63,1019.56,Banjara Hills
06-11-2015 06:00,14,206,193,93,143.87,Very Unhealthy,42,57,22.05,1004.71,Miyapur
06-11-2015 07:00,14,64,317,28,54.44,Moderate,42,53,28.26,980.02,Banjara Hills
06-11-2015 08:00,13,94,173,32,109.3,Moderate,27,34,26.56,1045.19,Gachibowli
06-11-2015 09:00,20,114,339,389,104.08,Unhealthy for Sensitive Groups,23,63,4.51,993.82,SR Nagar
06-11-2015 10:00,22,138,186,398,130.99,Unhealthy for Sensitive Groups,43,29,18.78,1038.3,SR Nagar
06-11-2015 11:00,26,120,323,60,53.49,Unhealthy for Sensitive Groups,29,56,29.88,997.55,SR Nagar
06-11-2015 12:00,26,58,102,412,13.13,Moderate,27,26,8.86,1002.53,Gachibowli
06-11-2015 13:00,21,137,350,277,145.74,Unhealthy for Sensitive Groups,15,51,19.04,994.45,Ameerpet
06-11-2015 14:00,23,178,219,101,57.54,Unhealthy,39,30,27.2,1034.3,Ameerpet
